OBJECTID,Neighbourhood,Assault Rate,Auto Theft Rate,Break And Enter Rate,Robbery Rate,Trees Per Square Km
1,Yonge-St.Clair,127.0144,15.8768,293.7207,31.75359,2350.258
2,York University Heights,950.5571,369.0808,376.0446,201.9499,1300.03
3,Lansing-Westgate,261.0966,105.682,211.3639,74.59903,2994.951
4,Yorkdale-Glen Park,697.5061,414.5555,335.5926,151.3457,1206.588
5,Stonegate-Queensway,354.9696,144.3283,273.0535,66.313,2269.811
6,Tam O'Shanter-Sullivan,364.7955,77.91748,173.5435,95.626,2045.538
7,The Beaches,399.2922,36.29929,204.1835,81.6734,2278.843
8,Thistletown-Beaumond Heights,576.4506,94.50009,207.9002,179.5502,2773.421
9,Thorncliffe Park,409.5238,57.14286,161.9048,76.19048,1604.54
10,Danforth East York,387.9286,34.22899,176.8498,11.40966,1663.317
11,Humewood-Cedarvale,230.1029,67.67731,203.0319,54.14185,2516.026
12,Islington-City Centre West,534.126,206.6835,257.7739,90.56919,1355.943
13,Danforth,1001.011,111.2235,394.3377,192.1133,1804.464
14,Rustic,498.3876,68.40614,205.2184,146.5846,1817.835
15,Scarborough Village,936.1554,116.2926,290.7315,174.4389,2476.523
16,South Parkdale,816.6888,39.94674,199.7337,88.77053,1601.836
17,South Riverdale,735.4254,60.69044,314.1623,196.3514,1408.461
18,St.Andrew-Windfields,299.2383,97.93253,440.6964,54.40696,2528.211
19,Taylor-Massey,790.1722,74.07864,197.5431,148.1573,2066.792
20,Humber Summit,685.1982,513.8986,420.4625,194.6586,995.859
21,Humbermede,648.7087,222.4144,216.2363,154.4545,1646.7
22,Centennial Scarborough,381.6794,58.71991,95.41985,66.05989,2491.042
23,Church-Yonge Corridor,1691.545,94.67605,467.0685,397.6394,854.212
24,Clairlea-Birchmount,905.2124,155.8152,478.5754,170.6548,1444.189
25,Cliffcrest,497.3902,104.3905,257.906,165.7968,2532.323
26,Flemingdon Park,571.5552,35.44528,221.533,115.1972,2261.116
